Name,Weight,Wins,Losses,Draws,Birth Date,Country,Weight Class,Age,Last Fight
Anthony Leone,135 lbs.,15,8,0,1987-05-27,United States,Flyweight,37,09/03/2019
Chad Leonhardt,170 lbs.,9,4,0,1980-02-19,United States,Welterweight,45,22/09/2017
Kimo Leopoldo,235 lbs.,10,7,1,1968-01-04,United States,Heavyweight,57,06/10/2006
Brock Lesnar,265 lbs.,5,3,0,1977-07-12,United States,Heavyweight,47,09/07/2016
Frank Lester,170 lbs.,11,6,0,1984-06-10,United States,Welterweight,40,29/03/2024
Valerie Letourneau,115 lbs.,8,6,0,1983-04-29,Canada,Strawweight,42,15/12/2018
Leah Letson,145 lbs.,5,3,0,1992-08-21,United States,Featherweight,32,13/11/2021
Justin Levens,185 lbs.,10,7,0,1980-04-18,United States,Middleweight,45,18/10/2007
Marcus Levesseur,155 lbs.,22,7,0,1983-07-17,United States,Lightweight,41,08/12/2012
David Levicki,275 lbs.,1,3,0,,United States,Super Heavyweight,,19/02/1995
John Lewis,155 lbs.,3,4,3,1969-07-16,United States,Welterweight,55,17/11/2000
Derrick Lewis,260 lbs.,28,12,0,1985-02-07,United States,Heavyweight,40,11/05/2024
Bevon Lewis,185 lbs.,7,3,0,1991-05-05,United States,Middleweight,34,16/11/2024
Chi Lewis-Parry,243 lbs.,7,0,1,1983-08-10,England,Heavyweight,41,25/09/2020
Jess Liaudin,170 lbs.,20,11,0,1973-11-21,France,Welterweight,51,13/05/2012
Chuck Liddell,205 lbs.,21,8,0,1969-12-17,United States,Light Heavyweight,55,24/11/2018
Zach Light,170 lbs.,9,11,0,1974-02-06,United States,Welterweight,51,05/08/2011
Chris Liguori,185 lbs.,15,10,0,,United States,Lightweight,,07/12/2012
Hyun Gyu Lim,170 lbs.,13,7,1,1985-01-16,South Korea,Welterweight,40,18/11/2018
Juliana Lima,115 lbs.,9,5,0,1982-03-15,Brazil,Strawweight,43,02/07/2020
Dhiego Lima,170 lbs.,17,9,0,1989-01-31,Brazil,Welterweight,36,19/06/2021
Douglas Lima,170 lbs.,29,6,0,1988-01-05,Brazil,Welterweight,37,25/02/2023
Matt Lindland,185 lbs.,22,9,0,1970-05-17,United States,Middleweight,54,21/05/2011
Jake Lindsey,155 lbs.,12,7,0,1986-06-21,United States,Welterweight,38,16/08/2024
John Lineker,135 lbs.,31,9,0,1990-06-12,Brazil,Bantamweight,34,23/03/2025
Austin Lingo,145 lbs.,9,3,0,1994-07-10,United States,Featherweight,30,02/08/2024
Lucio Linhares,185 lbs.,19,8,0,1973-12-08,Brazil,Middleweight,51,05/10/2013
Philipe Lins,205 lbs.,18,5,0,1985-08-17,Brazil,Heavyweight,39,09/03/2024
Dean Lister,185 lbs.,13,7,0,1976-02-13,United States,Middleweight,49,29/08/2015
Abner Lloveras,155 lbs.,20,9,1,1982-09-04,Spain,Lightweight,42,17/02/2023
John Lober,199 lbs.,5,9,4,1968-02-26,United States,Middleweight,57,29/11/2009
Artem Lobov,145 lbs.,13,15,1,1986-08-11,Ireland,Featherweight,38,19/06/2021
Sean Loeffler,185 lbs.,31,5,0,1982-05-23,United States,Light Heavyweight,42,07/03/2020
David Loiseau,185 lbs.,23,11,0,1979-12-17,Canada,Light Heavyweight,45,07/06/2014
Hector Lombard,185 lbs.,34,10,1,1978-02-02,Cuba,Middleweight,47,10/11/2023
Michael Lombardo,170 lbs.,11,2,0,1990-04-30,United States,Welterweight,35,29/06/2024
Dileno Lopes,135 lbs.,19,3,0,1984-09-26,Brazil,Bantamweight,40,06/05/2023
Steve Lopez,155 lbs.,13,6,1,1984-07-30,United States,Lightweight,40,06/10/2012
Jorge Lopez,170 lbs.,11,5,0,1988-11-21,United States,Welterweight,36,09/08/2014
Matthew Lopez,135 lbs.,10,4,0,1987-01-21,United States,Bantamweight,38,08/12/2018
Benito Lopez,135 lbs.,10,2,0,1994-04-06,United States,Bantamweight,31,05/11/2022
Gustavo Lopez,135 lbs.,12,6,1,1989-06-27,United States,Bantamweight,35,30/12/2023
Brendan Loughnane,145 lbs.,17,3,0,1989-12-05,England,Featherweight,35,29/11/2024
Nate Loughran,185 lbs.,11,2,0,1980-07-28,United States,Welterweight,44,07/08/2014
Rashard Lovelace,155 lbs.,4,1,0,1989-04-05,United States,Featherweight,36,02/11/2018
Ian Loveland,145 lbs.,18,10,0,1983-09-07,United States,Bantamweight,41,06/02/2016
Waylon Lowe,145 lbs.,16,7,0,1980-10-31,United States,Lightweight,44,30/04/2016
Brandon Lowe,155 lbs.,2,1,0,1990-04-24,United States,Featherweight,35,13/05/2023
Robert Lucarelli,245 lbs.,0,1,0,,United States,Heavyweight,,11/03/1994
Matt Lucas,205 lbs.,15,3,0,1973-12-27,United States,Light Heavyweight,51,16/06/2012
Cleber Luciano,155 lbs.,14,6,0,1973-12-15,United States,Featherweight,51,06/11/2021
Duane Ludwig,170 lbs.,21,14,0,1978-08-04,United States,Welterweight,46,29/09/2012
Mike Lullo,145 lbs.,8,3,0,1979-07-24,United States,Featherweight,45,17/09/2011
Dalcha Lungiambula,185 lbs.,11,6,0,1985-07-31,South Africa,Middleweight,39,10/12/2022
Vicente Luque,170 lbs.,23,10,1,1991-11-27,Brazil,Welterweight,33,07/12/2024
Thaddeus Luster,210 lbs.,0,1,0,,United States,Light Heavyweight,,11/03/1994
Travis Lutter,185 lbs.,10,6,0,1973-05-12,United States,Middleweight,51,21/05/2010
Tucker Lutz,145 lbs.,12,4,0,1994-07-12,United States,Featherweight,30,15/07/2023
Chris Lytle,170 lbs.,31,18,5,1974-08-18,United States,Welterweight,50,26/09/2020
Dong Hyun Ma,155 lbs.,16,11,3,1988-09-09,South Korea,Lightweight,36,21/12/2019
William Macario,170 lbs.,9,3,0,1991-07-01,Brazil,Welterweight,33,25/09/2022
Jason Macdonald,185 lbs.,25,16,0,1975-06-03,Canada,Middleweight,49,15/05/2012
Rob Macdonald,205 lbs.,5,4,0,1978-09-05,Canada,Heavyweight,46,31/05/2022
Rory Macdonald,170 lbs.,19,4,0,1989-07-22,Canada,Welterweight,35,13/08/2022
Ryan Macdonald,135 lbs.,10,2,0,1993-03-18,United States,Bantamweight,32,29/04/2023
Clayton Macfarlane,170 lbs.,4,1,0,,United States,Welterweight,,13/02/2015
Lyoto Machida,185 lbs.,24,8,0,1978-05-30,Brazil,Middleweight,46,13/05/2022
War Machine,170 lbs.,14,5,0,1981-11-30,United States,Welterweight,43,18/10/2013
Anthony Macias,185 lbs.,26,18,0,1969-07-16,United States,Welterweight,55,18/04/2014
Reza Madadi,155 lbs.,14,6,0,1978-06-20,Iran,Lightweight,46,28/05/2017
Don Madge,155 lbs.,9,3,1,1990-11-12,South Africa,Lightweight,34,28/06/2024
Ryan Madigan,170 lbs.,5,3,0,,United States,Welterweight,,21/11/2009
Jon Madsen,240 lbs.,8,2,0,1980-02-12,United States,Heavyweight,45,20/03/2015
Vinny Magalhaes,205 lbs.,14,9,0,1984-07-02,Brazil,Light Heavyweight,40,17/09/2022
Caio Magalhaes,185 lbs.,10,3,0,1987-12-14,Brazil,Middleweight,37,06/05/2023
Bernardo Magalhaes,155 lbs.,13,4,0,1981-08-04,Brazil,Lightweight,43,16/08/2014
Angela Magana,115 lbs.,11,9,0,1983-08-02,United States,Strawweight,41,21/11/2020
Neil Magny,170 lbs.,29,14,0,1987-08-03,United States,Welterweight,37,09/11/2024
Raimond Magomedaliev,170 lbs.,10,2,0,1990-06-10,Russia,Welterweight,34,24/02/2024
Rashid Magomedov,155 lbs.,20,2,0,1984-05-14,Russia,Lightweight,40,22/07/2022
Ruslan Magomedov,242 lbs.,14,1,0,1986-11-26,Russia,Heavyweight,38,20/04/2018
Zabit Magomedsharipov,145 lbs.,18,1,0,1991-03-01,Russia,Featherweight,34,09/11/2019
John Maguire,155 lbs.,24,9,0,1983-05-19,England,Welterweight,41,13/07/2019
Bill Mahood,200 lbs.,20,7,1,1967-02-01,Canada,Light Heavyweight,58,29/05/2010
Klayton Mai,125 lbs.,8,3,0,1986-11-30,United States,Flyweight,38,24/03/2017
Demian Maia,170 lbs.,28,11,0,1977-11-06,Brazil,Welterweight,47,12/06/2021
Jennifer Maia,125 lbs.,21,10,1,1988-10-06,Brazil,Flyweight,36,13/12/2024
Levan Makashvili,145 lbs.,15,2,1,1989-01-07,United States,Featherweight,36,17/05/2024
John Makdessi,155 lbs.,18,9,0,1985-05-03,Canada,Lightweight,40,09/09/2023
Islam Makhachev,155 lbs.,27,1,0,1991-09-27,Russia,Lightweight,33,18/01/2025
Zach Makovsky,125 lbs.,20,8,0,1983-04-19,United States,Flyweight,42,12/08/2023
Fabio Maldonado,205 lbs.,23,11,0,1980-03-17,Brazil,Heavyweight,45,05/04/2025
Marvin Maldonado,135 lbs.,2,4,0,,United States,Bantamweight,,28/05/2016
Bea Malecki,135 lbs.,4,1,0,1991-08-23,Sweden,Featherweight,33,21/08/2021
Nazareno Malegarie,155 lbs.,28,4,0,1986-05-16,Argentina,Featherweight,38,26/05/2019
Jacob Malkoun,185 lbs.,8,3,0,1995-08-26,Australia,Middleweight,29,30/03/2024
Mike Malott,170 lbs.,11,2,1,1991-11-07,Canada,Welterweight,33,02/11/2024
Troy Mandaloniz,170 lbs.,3,2,0,1980-02-01,United States,Welterweight,45,21/02/2009
Melvin Manhoef,185 lbs.,30,14,1,1976-05-11,Netherlands,Light Heavyweight,48,28/12/2022
Jon Manley,170 lbs.,9,4,0,1986-07-07,United States,Welterweight,38,29/07/2023
Chris Manuel,135 lbs.,9,7,2,1987-07-21,United States,Featherweight,37,19/03/2016
Jimi Manuwa,205 lbs.,17,6,0,1980-02-18,England,Light Heavyweight,45,01/06/2019
Cristiano Marcello,155 lbs.,13,6,0,1977-12-03,Brazil,Lightweight,47,15/02/2014
Marcos Mariano,155 lbs.,6,6,0,1986-10-12,Brazil,Lightweight,38,08/10/2021
Enrique Marin,170 lbs.,10,4,0,1986-09-02,Spain,Lightweight,38,23/03/2024
Ronny Markes,185 lbs.,17,5,0,1988-04-21,Brazil,Heavyweight,37,27/09/2024
Rory Markham,170 lbs.,17,6,0,1982-03-25,United States,Middleweight,43,20/05/2016
Randa Markos,115 lbs.,11,12,1,1985-08-10,Canada,Strawweight,39,23/10/2021
Christina Marks,125 lbs.,8,9,0,1985-11-09,United States,Flyweight,39,06/11/2022
Nate Marquardt,185 lbs.,35,19,2,1979-04-20,United States,Middleweight,46,23/10/2021
Danilo Marques,205 lbs.,11,4,0,1985-12-26,Brazil,Light Heavyweight,39,13/06/2024
Julian Marquez,185 lbs.,9,6,0,1990-05-08,United States,Middleweight,35,01/03/2025
Carmelo Marrero,205 lbs.,16,6,0,1981-01-26,United States,Heavyweight,44,25/10/2013
John Marsh,265 lbs.,8,7,0,1970-09-15,United States,Heavyweight,54,30/11/2007
Eliot Marshall,205 lbs.,10,4,0,1980-07-07,United States,Light Heavyweight,44,28/09/2019
Doug Marshall,205 lbs.,18,8,0,1977-02-03,United States,Middleweight,48,19/09/2014
Jack Marshman,185 lbs.,23,10,0,1989-12-19,Wales,Middleweight,35,04/04/2025
Terry Martin,185 lbs.,23,11,0,1980-10-10,United States,Middleweight,44,16/12/2017
Eric Martin,265 lbs.,0,1,0,,United States,Heavyweight,,07/02/1997
Justin Martin,185 lbs.,4,3,0,,United States,Light Heavyweight,,14/03/2015
Anthony Rocco Martin,170 lbs.,17,6,0,1989-12-11,United States,Welterweight,35,06/05/2022
Mallory Martin,115 lbs.,7,5,0,1994-01-29,United States,Strawweight,31,26/04/2025
Rainy Martinez,199 lbs.,0,2,0,,United States,Light Heavyweight,,27/02/1998
Danny Martinez,125 lbs.,21,8,0,1985-06-14,United States,Flyweight,39,08/10/2017
Alonzo Martinez,155 lbs.,42,20,1,1984-04-22,United States,Lightweight,41,18/04/2025
Henry Martinez,155 lbs.,9,4,0,1983-08-07,United States,Lightweight,41,16/02/2019
Jonathan Martinez,135 lbs.,19,6,0,1994-04-20,United States,Bantamweight,31,16/11/2024
Poppies Martinez,145 lbs.,29,11,0,1983-08-19,United States,Featherweight,41,19/09/2014
Roque Martinez,250 lbs.,15,8,2,1986-03-04,Guam,Heavyweight,39,06/05/2025
Adriano Martins,155 lbs.,28,9,0,1982-12-16,Brazil,Lightweight,42,21/02/2025
Lucas Martins,145 lbs.,19,3,0,1988-11-11,Brazil,Featherweight,36,06/05/2025
Bristol Marunde,170 lbs.,16,10,0,1982-04-20,United States,Welterweight,43,09/10/2015
Mike Massenzio,185 lbs.,13,9,0,1982-11-01,United States,Middleweight,42,05/04/2013
Jameel Massouh,145 lbs.,26,9,0,1984-09-12,United States,Featherweight,40,19/03/2011
Jorge Masvidal,170 lbs.,35,17,0,1984-11-12,United States,Welterweight,40,06/07/2024
Tateki Matsuda,125 lbs.,13,8,0,1986-02-27,United States,Flyweight,39,02/04/2022
Koyomi Matsushima,145 lbs.,13,6,0,1992-10-08,Japan,Featherweight,32,21/01/2024
Aj Matthews,185 lbs.,8,7,0,1988-01-23,United States,Middleweight,37,29/03/2019
Jake Matthews,170 lbs.,21,7,0,1994-08-19,Australia,Welterweight,30,08/02/2025
John Matua,400 lbs.,1,4,0,,United States,Super Heavyweight,,16/09/2000
Vladimir Matyushenko,205 lbs.,27,8,0,1971-01-04,Belarus,Light Heavyweight,54,11/04/2014
Miranda Maverick,125 lbs.,17,5,0,1997-07-01,United States,Flyweight,27,14/12/2024
Jack May,255 lbs.,9,3,0,1981-04-14,United States,Heavyweight,44,19/10/2024
Don'Tale Mayes,260 lbs.,11,9,0,1992-01-16,United States,Heavyweight,33,03/05/2025
Gray Maynard,155 lbs.,13,7,1,1979-09-05,United States,Featherweight,45,14/07/2023
Brooke Mayo,125 lbs.,0,1,0,1992-08-10,United States,Flyweight,32,22/05/2021
Gina Mazany,125 lbs.,7,6,0,1988-08-19,United States,Flyweight,36,01/04/2023
Sabina Mazo,125 lbs.,9,4,0,1997-03-25,Colombia,Bantamweight,28,04/08/2023
Scott Mcafee,155 lbs.,14,7,0,1983-08-23,United States,Lightweight,41,19/09/2014
Michael Mcbride,155 lbs.,8,3,0,1986-03-09,United States,Lightweight,39,22/04/2017
Ian Mccall,125 lbs.,13,5,1,1984-07-05,United States,Flyweight,40,28/12/2017
Molly Mccann,115 lbs.,14,8,0,1990-05-04,England,Flyweight,35,19/07/2024
Charles Mccarthy,185 lbs.,10,5,0,1980-08-06,United States,Middleweight,44,05/04/2008
Sean Mccorkle,265 lbs.,17,7,0,1976-07-17,United States,Super Heavyweight,48,06/12/2014
Kris Mccray,170 lbs.,8,5,0,1981-09-24,United States,Welterweight,43,06/12/2014
Tamdan Mccrory,185 lbs.,14,5,0,1986-11-05,United States,Middleweight,38,09/12/2016
Rob Mccullough,155 lbs.,19,8,0,1977-05-26,United States,Lightweight,47,14/07/2012
Justin Mccully,225 lbs.,11,5,2,1976-02-18,United States,Heavyweight,49,10/04/2010
Michael Mcdonald,135 lbs.,17,4,0,1991-01-15,United States,Bantamweight,34,22/07/2017
Miles Mcdonald,115 lbs.,2,1,0,1991-08-13,United States,Strawweight,33,03/06/2006
Drew Mcfedries,185 lbs.,12,7,0,1978-07-27,United States,Middleweight,46,25/09/2010
Liam Mcgeary,205 lbs.,12,2,0,1982-10-04,England,Light Heavyweight,42,04/10/2019
Gan Mcgee,265 lbs.,13,5,0,1976-11-20,United States,Heavyweight,48,25/06/2010
Court Mcgee,170 lbs.,23,13,0,1984-12-12,United States,Welterweight,40,20/04/2024
Ryan Mcgillivray,170 lbs.,12,0,1,1986-09-27,Canada,Welterweight,38,04/10/2014
Ryan Mcgivern,185 lbs.,13,7,0,1980-01-17,United States,Middleweight,45,28/12/2017
Conor Mcgregor,155 lbs.,22,6,0,1988-07-14,Ireland,Lightweight,36,19/07/2024
Antonio Mckee,155 lbs.,29,6,2,1970-03-12,United States,Lightweight,55,05/04/2008
Rhys Mckee,170 lbs.,14,6,1,1995-09-10,Northern Ireland,Welterweight,29,06/12/2014
Cory Mckenna,115 lbs.,8,4,0,1999-07-11,England,Strawweight,25,06/12/2014
Tim Mckenzie,185 lbs.,14,9,0,1981-06-21,United States,Middleweight,43,09/12/2016
Cody Mckenzie,155 lbs.,16,10,0,1987-12-16,United States,Welterweight,37,14/07/2012
Terrance Mckinney,155 lbs.,16,7,0,1994-09-15,United States,Lightweight,30,10/04/2010
Garreth Mclellan,185 lbs.,13,6,0,1982-01-09,South Africa,Middleweight,43,22/07/2017
Sara Mcmann,135 lbs.,13,6,0,1980-09-24,United States,Bantamweight,44,03/06/2006
James Mcsweeney,230 lbs.,15,15,0,1980-10-24,England,Heavyweight,44,25/09/2010
Tim Means,170 lbs.,33,17,1,1984-02-20,United States,Welterweight,41,04/10/2019
Yancy Medeiros,155 lbs.,15,8,0,1987-09-07,United States,Lightweight,37,25/06/2010
Kaline Medeiros,115 lbs.,8,5,0,1979-01-05,Brazil,Strawweight,46,20/04/2024
Uros Medic,170 lbs.,10,3,0,1993-04-25,United States,Lightweight,32,04/10/2014
Emil Meek,170 lbs.,9,5,1,1988-08-20,Norway,Welterweight,36,21/09/2024
Gerald Meerschaert,185 lbs.,37,19,0,1987-12-18,United States,Middleweight,37,05/04/2025
Derrick Mehmen,205 lbs.,19,9,0,1985-05-30,United States,Heavyweight,39,06/10/2017
Jordan Mein,170 lbs.,31,12,0,1989-10-10,Canada,Welterweight,35,07/03/2025
Brian Melancon,170 lbs.,7,3,0,1982-05-28,United States,Welterweight,42,28/08/2013
Brandon Melendez,155 lbs.,25,25,0,1983-03-24,United States,Welterweight,42,16/10/2022
Gilbert Melendez,145 lbs.,22,8,0,1982-04-12,United States,Lightweight,43,12/12/2019
Marcelo Mello,170 lbs.,1,0,0,,Brazil,Welterweight,,07/05/1999
Fabio Mello,155 lbs.,11,8,0,1975-06-28,United States,Featherweight,49,29/11/2019
Vanessa Melo,135 lbs.,11,8,0,1988-03-27,Brazil,Bantamweight,37,08/06/2024
Antonio Mendes,205 lbs.,18,13,0,1981-04-19,Brazil,Light Heavyweight,44,02/03/2013
Chad Mendes,145 lbs.,18,5,0,1985-05-01,United States,Featherweight,40,02/08/2024
Augusto Mendes,135 lbs.,6,2,0,1983-03-03,Brazil,Bantamweight,42,04/11/2022
Eddie Mendez,185 lbs.,8,3,1,1984-01-16,United States,Middleweight,41,07/10/2017
Pietro Menga,125 lbs.,13,0,0,1988-02-15,England,Bantamweight,37,15/04/2023
Alonzo Menifield,205 lbs.,16,5,1,1987-10-18,United States,Light Heavyweight,37,22/02/2025
Ivan Menjivar,145 lbs.,25,12,0,1982-05-30,El Salvador,Bantamweight,42,01/03/2014
Dave Menne,170 lbs.,45,17,2,1974-07-29,United States,Middleweight,50,31/03/2012
Adam Meredith,170 lbs.,5,3,0,1987-12-07,United States,Welterweight,37,02/06/2017
Joe Merritt,170 lbs.,7,2,0,1984-03-07,United States,Welterweight,41,02/07/2016
Jonathan Meunier,170 lbs.,8,1,0,1987-08-04,Canada,Welterweight,37,14/12/2019
Yaotzin Meza,145 lbs.,21,11,0,1981-02-04,United States,Featherweight,44,14/09/2018
Guy Mezger,200 lbs.,30,14,2,1968-01-01,United States,Light Heavyweight,57,06/12/2003
Andreas Michailidis,170 lbs.,13,6,0,1988-07-18,Greece,Middleweight,36,22/02/2025
David Michaud,155 lbs.,11,3,0,1988-11-10,United States,Welterweight,36,31/12/2019
Kristof Midoux,220 lbs.,6,10,0,1972-07-30,France,Heavyweight,52,20/10/2007
Keith Mielke,185 lbs.,0,5,0,,United States,Middleweight,,15/07/2000
Chris Mierzwiak,185 lbs.,5,3,0,1988-02-14,United States,Welterweight,37,30/10/2015
Gabriel Miglioli,170 lbs.,9,9,0,1981-07-10,Brazil,Lightweight,43,26/08/2016
Bojan Mihajlovic,205 lbs.,10,6,0,1980-03-30,Serbia,Light Heavyweight,45,02/09/2017
Billy Miles,170 lbs.,2,2,0,1978-04-28,United States,Middleweight,47,17/11/2007
Pat Miletich,170 lbs.,29,7,2,1968-03-09,United States,Welterweight,57,14/10/2023
Curtis Millender,170 lbs.,17,5,0,1987-12-01,United States,Welterweight,37,01/06/2024
Phillip Miller,185 lbs.,16,0,0,1979-02-20,United States,Middleweight,46,26/07/2003
Jason Miller,185 lbs.,23,10,0,1980-12-24,United States,Middleweight,44,06/10/2018
Dan Miller,185 lbs.,14,8,0,1981-06-30,United States,Middleweight,43,20/03/2016
Jim Miller,155 lbs.,38,19,0,1983-08-30,United States,Lightweight,41,16/11/2024
Cole Miller,145 lbs.,21,11,0,1984-04-26,United States,Featherweight,41,10/12/2016
Aaron Miller,145 lbs.,14,10,0,1980-05-23,United States,Featherweight,44,17/11/2012
Che Mills,170 lbs.,16,10,0,1982-09-29,England,Welterweight,42,24/11/2018
Adam Milstead,205 lbs.,8,4,0,1987-07-03,United States,Light Heavyweight,37,03/02/2018
Alberto Mina,170 lbs.,13,1,0,1982-05-02,Brazil,Welterweight,43,23/06/2018
Vitaly Minakov,249 lbs.,20,0,0,1985-02-06,Russia,Heavyweight,40,23/10/2021
Darrick Minner,145 lbs.,26,14,0,1990-04-28,United States,Featherweight,35,05/11/2022
Ikuhisa Minowa,181 lbs.,60,42,8,1976-01-12,Japan,Middleweight,49,31/12/2022
Carlton Minus,170 lbs.,10,3,0,1993-04-26,United States,Welterweight,32,19/01/2024
Stipe Miocic,240 lbs.,20,5,0,1982-08-19,United States,Heavyweight,42,16/11/2024
Frank Mir,264 lbs.,18,11,0,1979-05-24,United States,Heavyweight,45,27/11/2021
Mario Miranda,185 lbs.,14,7,0,1978-09-21,Brazil,Middleweight,46,26/10/2013
Vitor Miranda,185 lbs.,12,5,0,1979-03-10,Brazil,Middleweight,46,22/07/2018
Toby Misech,145 lbs.,9,5,0,1988-03-07,United States,Bantamweight,37,23/02/2024
Dokonjonosuke Mishima,155 lbs.,21,7,2,1972-04-19,Japan,Lightweight,53,15/10/2011
David Mitchell,170 lbs.,22,7,0,1979-10-24,United States,Middleweight,45,19/01/2019
Danny Mitchell,170 lbs.,19,9,1,1986-08-08,England,Welterweight,38,29/03/2025
Brad Mitchell,145 lbs.,4,2,0,1974-10-10,United States,Featherweight,50,27/02/2016
Clay Mitchell,185 lbs.,1,2,0,1983-08-18,United States,Middleweight,41,12/03/2016
Bryce Mitchell,145 lbs.,17,4,0,1994-10-04,United States,Featherweight,30,12/04/2025
Roman Mitichyan,170 lbs.,8,3,0,1978-04-09,Armenia,Lightweight,47,05/05/2012
Matt Mitrione,265 lbs.,12,5,0,1978-07-15,United States,Heavyweight,46,16/07/2021
Eiji Mitsuoka,145 lbs.,18,9,2,1976-01-01,Japan,Featherweight,49,11/08/2012
Takeya Mizugaki,135 lbs.,21,11,2,1983-12-16,Japan,Bantamweight,41,15/10/2023
Tatsuya Mizuno,205 lbs.,16,12,1,1981-06-02,Japan,Middleweight,43,16/09/2024
Roxanne Modafferi,125 lbs.,25,21,0,1982-09-24,United States,Flyweight,42,03/07/2022
Bobby Moffett,145 lbs.,13,5,0,1990-06-01,United States,Featherweight,34,02/05/2025
Bronson Mohika,135 lbs.,1,1,0,,United States,Bantamweight,,06/04/2007
Nate Mohr,155 lbs.,9,7,0,1983-03-03,United States,Lightweight,42,19/06/2009
Thiago Moises,155 lbs.,19,8,0,1995-03-23,Brazil,Lightweight,30,11/01/2025
Ashkan Mokhtarian,125 lbs.,13,3,0,1985-09-18,Australia,Flyweight,39,06/09/2019
Suman Mokhtarian,145 lbs.,8,5,0,1992-06-13,Australia,Featherweight,32,21/12/2019
Jeff Molina,125 lbs.,11,2,0,1997-07-17,United States,Flyweight,27,04/06/2022
Rudyard Moncayo,195 lbs.,0,3,0,1973-05-17,United States,Light Heavyweight,51,18/10/1996
Jeff Monson,247 lbs.,60,26,1,1971-01-18,United States,Heavyweight,54,05/06/2015
Darrell Montague,125 lbs.,13,5,0,1987-11-03,United States,Flyweight,37,12/07/2015
Augusto Montano,170 lbs.,15,3,0,1984-10-25,Mexico,Welterweight,40,17/09/2016
Erick Montano,170 lbs.,7,5,0,1985-11-19,Mexico,Welterweight,39,31/05/2024
Nicco Montano,135 lbs.,5,3,0,1988-12-16,United States,Flyweight,36,13/07/2019
Steve Montgomery,185 lbs.,9,5,0,1990-12-19,United States,Middleweight,34,30/05/2019
James Moontasri,170 lbs.,9,5,0,1988-04-10,United States,Welterweight,37,17/12/2016
Homer Moore,205 lbs.,26,9,2,1971-11-12,United States,Light Heavyweight,53,16/03/2013
Sergio Moraes,170 lbs.,14,6,1,1982-07-23,Brazil,Welterweight,42,23/10/2020
Marlon Moraes,135 lbs.,23,10,1,1988-04-26,Brazil,Bantamweight,37,08/06/2023
Sheymon Moraes,145 lbs.,11,4,0,1990-10-11,Brazil,Featherweight,34,30/08/2024
John Moraga,125 lbs.,19,7,0,1984-03-20,United States,Flyweight,41,10/12/2021
Leonardo Morales,135 lbs.,6,2,0,1992-12-22,Nicaragua,Featherweight,32,08/11/2024
Albert Morales,135 lbs.,7,4,1,1991-05-25,United States,Bantamweight,33,01/03/2025
Joseph Morales,125 lbs.,9,2,0,1994-08-22,United States,Flyweight,30,03/02/2023
Vince Morales,135 lbs.,16,10,0,1990-11-12,United States,Bantamweight,34,29/03/2025
Omar Morales,155 lbs.,11,4,0,1985-10-17,Venezuela,Featherweight,39,11/10/2024
Sarah Moras,135 lbs.,6,8,0,1988-04-30,Canada,Bantamweight,37,16/01/2021
Christian Morecraft,260 lbs.,8,3,0,1986-09-08,United States,Heavyweight,38,14/09/2013
Joe Moreira,195 lbs.,2,2,0,1961-07-03,Brazil,Light Heavyweight,63,09/11/2002
Richardson Moreira,185 lbs.,7,4,0,1984-03-31,Brazil,Light Heavyweight,41,30/10/2020
Vinicius Moreira,205 lbs.,9,5,0,1989-02-28,Brazil,Light Heavyweight,36,27/03/2022
Brandon Moreno,125 lbs.,23,8,2,1993-12-07,Mexico,Flyweight,31,29/03/2025
Dan Moret,155 lbs.,13,6,0,1986-11-21,United States,Lightweight,38,27/01/2023
Peggy Morgan,135 lbs.,4,4,0,1979-12-06,United States,Featherweight,45,29/07/2016
Alex Morono,170 lbs.,24,12,0,1990-08-16,United States,Welterweight,34,08/03/2025
Maryna Moroz,125 lbs.,11,6,0,1991-09-08,Ukraine,Flyweight,33,09/03/2024
Sergey Morozov,135 lbs.,19,5,0,1989-06-14,Kazakhstan,Bantamweight,35,17/12/2022
Brad Morris,205 lbs.,10,6,0,1979-11-01,Australia,Heavyweight,45,13/11/2010
Scott Morris,210 lbs.,2,1,0,,United States,Heavyweight,,12/06/1998
Anthony Morrison,145 lbs.,20,12,0,1984-03-29,United States,Featherweight,41,10/06/2017
Harry Moskowitz,275 lbs.,6,12,0,1968-07-16,United States,Super Heavyweight,56,14/09/1996
Flavio Luiz Moura,183 lbs.,19,7,0,1976-01-26,Brazil,Light Heavyweight,49,04/03/2012
Gegard Mousasi,185 lbs.,42,6,2,1985-08-01,Netherlands,Middleweight,39,12/05/2023
Kris Moutinho,135 lbs.,9,6,0,1992-08-09,United States,Bantamweight,32,09/11/2024
Kin Moy,135 lbs.,8,3,0,1990-06-26,United States,Bantamweight,34,25/01/2020
Jamie Moyle,115 lbs.,4,3,0,1989-03-17,United States,Flyweight,36,15/12/2018
Garrett Mueller,135 lbs.,3,3,0,1989-01-29,United States,Lightweight,36,07/09/2024
Lauren Mueller,125 lbs.,5,3,0,1991-11-15,United States,Flyweight,33,27/08/2021
Belal Muhammad,170 lbs.,24,3,0,1988-07-09,United States,Welterweight,36,27/07/2024
Fazlo Mulabitinovic,135 lbs.,4,2,0,1993-02-09,United States,Bantamweight,32,07/01/2017
Quinn Mulhern,155 lbs.,18,4,0,1984-09-20,United States,Lightweight,40,04/01/2014
